
              I  I QQQQCC
              H  L 3210LL
                   3333KR
             ------------------------
TIME          H  H       
   5325.0ns   9  9 000011
   5350.0ns   9  9 000001
   5375.0ns   9  9 000011
   5400.0ns   9  9 000000
   5425.0ns   9  9 001110
   5450.0ns   9  9 001100
   5475.0ns   9  9 001110
   5500.0ns   9  9 001100
   5525.0ns   9  9 001010
   5550.0ns   9  9 001000
   5575.0ns   9  9 001010
   5600.0ns   9  9 001000
   5625.0ns   9  9 001010
   5650.0ns   9  9 001000
   5675.0ns   9  9 001010
   5700.0ns   9  9 001000
   5725.0ns   9  9 001010
   5750.0ns   9  9 001000
   5775.0ns   9  9 001010
   5800.0ns   9  9 001000
   5825.0ns   9  9 011010
   5850.0ns   9  9 011000
   5875.0ns   9  9 011010
   5900.0ns   9  9 011000
   5925.0ns   9  9 001110
   5950.0ns   9  9 001100
   5975.0ns   9  9 001110
