
             QQQQ I  I CC
             3210 H  L LL
             3333      KR
             ------------------------
TIME              H  H   
   4675.0ns  1000 9  9 10
   4700.0ns  1000 9  9 00
   4725.0ns  1000 9  9 10
   4750.0ns  1000 9  9 00
   4775.0ns  1000 9  9 10
   4800.0ns  1000 9  9 00
   4825.0ns  1000 9  9 10
   4850.0ns  1000 9  9 00
   4875.0ns  1000 9  9 10
   4900.0ns  1000 9  9 00
   4925.0ns  1000 9  9 10
   4950.0ns  1100 9  9 00
   4975.0ns  1100 9  9 10
   5000.0ns  1100 9  9 00
   5025.0ns  1100 9  9 10
   5050.0ns  1111 9  9 00
   5075.0ns  1111 9  9 10
   5100.0ns  0011 9  9 00
   5125.0ns  0011 9  9 10
   5150.0ns  0010 9  9 00
   5175.0ns  0010 9  9 10
   5200.0ns  0010 9  9 00
   5225.0ns  0010 9  9 10
   5250.0ns  0010 9  9 00
   5275.0ns  0010 9  9 10
   5300.0ns  0010 9  9 01
   5325.0ns  0010 9  9 11
   5350.0ns  0000 9  9 01
   5375.0ns  0000 9  9 11
   5400.0ns  0000 9  9 00
   5425.0ns  0000 9  9 10
   5450.0ns  0011 9  9 00
   5475.0ns  0011 9  9 10
   5500.0ns  0011 9  9 00
   5525.0ns  0011 9  9 10
   5550.0ns  0010 9  9 00
   5575.0ns  0010 9  9 10
   5600.0ns  0010 9  9 00
   5625.0ns  0010 9  9 10
   5650.0ns  0010 9  9 00
   5675.0ns  0010 9  9 10
   5700.0ns  0010 9  9 00
   5725.0ns  0010 9  9 10
   5750.0ns  0010 9  9 00
   5775.0ns  0010 9  9 10
   5800.0ns  0010 9  9 00
   5825.0ns  0010 9  9 10
   5850.0ns  0110 9  9 00
   5875.0ns  0110 9  9 10
   5900.0ns  0110 9  9 00
   5925.0ns  0110 9  9 10
   5950.0ns  0011 9  9 00
   5975.0ns  0011 9  9 10
